Date,City,Location_Type,Society_Project,Block_Sector,Size,Price_PKR,Price_Per_Marla_PKR,Development_Status,Year,Month,Days_Since_Start
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,10 Marla,32893284,3289328,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,12 Marla,39948811,3329068,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,13 Marla,39847617,3065201,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,14 Marla,43672365,3119455,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,15 Marla,52635557,3509037,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,16 Marla,52114465,3257154,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,17 Marla,55416735,3259808,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,18 Marla,61418397,3412133,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,19 Marla,64733159,3407008,Partially Operational,2022,5,851
5/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,20 Marla,64520060,3226003,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,4 Marla,10994819,2748705,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,5 Marla,13325459,2665092,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,6 Marla,16058518,2676420,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,7 Marla,19844594,2834942,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,8 Marla,22559776,2819972,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,9 Marla,24667716,2740857,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,10 Marla,26147916,2614792,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,12 Marla,34468457,2872371,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,13 Marla,35957564,2765966,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,14 Marla,41927061,2994790,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,15 Marla,39484831,2632322,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,16 Marla,44393868,2774617,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,17 Marla,49230909,2895936,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,18 Marla,49510825,2750601,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,19 Marla,49780340,2620018,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,20 Marla,53089000,2654450,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,4 Marla,15946344,3986586,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,5 Marla,19445802,3889160,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,6 Marla,25051834,4175306,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,7 Marla,28502177,4071740,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,8 Marla,32200359,4025045,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,9 Marla,37016990,4112999,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,10 Marla,41356204,4135620,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,12 Marla,47717572,3976464,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,13 Marla,54528615,4194509,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,14 Marla,55694373,3978170,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,15 Marla,60827304,4055154,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,16 Marla,65995192,4124699,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,17 Marla,66667720,3921631,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,18 Marla,74291519,4127307,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,19 Marla,77118677,4058878,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,20 Marla,83030845,4151542,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,4 Marla,8683060,2170765,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,5 Marla,11109021,2221804,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,6 Marla,13829481,2304913,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,7 Marla,14931735,2133105,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,8 Marla,17491995,2186499,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,9 Marla,19613203,2179245,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,10 Marla,21496016,2149602,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,12 Marla,25356271,2113023,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,13 Marla,29857734,2296749,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,14 Marla,33685542,2406110,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,15 Marla,34131825,2275455,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,16 Marla,34754657,2172166,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,17 Marla,38233664,2249039,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,18 Marla,39664298,2203572,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,19 Marla,41845577,2202399,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,20 Marla,45229191,2261460,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,4 Marla,8467265,2116816,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,5 Marla,10668288,2133658,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,6 Marla,11971026,1995171,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,7 Marla,14298727,2042675,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,8 Marla,16083254,2010407,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,9 Marla,18063215,2007024,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,10 Marla,19289445,1928944,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,12 Marla,25768492,2147374,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,13 Marla,27138590,2087584,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,14 Marla,29113066,2079505,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,15 Marla,29913162,1994211,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,16 Marla,34845646,2177853,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,17 Marla,37757680,2221040,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,18 Marla,37698013,2094334,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,19 Marla,39239126,2065217,Partially Operational,2022,5,851
5/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,20 Marla,41682216,2084111,Partially Operational,2022,5,851
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,4 Marla,17100775,4275194,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,5 Marla,21188199,4237640,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,High Street,6 Marla,26122500,4353750,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,High Street,7 Marla,28365201,4052172,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,8 Marla,32442673,4055334,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Executive Blocks,9 Marla,35701407,3966823,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,10 Marla,41911682,4191168,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,12 Marla,52631814,4385984,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,13 Marla,57770107,4443854,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,High Street,14 Marla,55425229,3958945,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Executive Blocks,15 Marla,63213119,4214208,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Executive Blocks,16 Marla,63832631,3989539,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,17 Marla,69397148,4082185,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Y Commercial,18 Marla,75332083,4185116,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Executive Blocks,19 Marla,81008575,4263609,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,20 Marla,87301861,4365093,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Markaz,4 Marla,12601603,3150401,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Mercy Square,5 Marla,15501130,3100226,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Commercial Broadway,6 Marla,19164019,3194003,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Markaz,7 Marla,22162654,3166093,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Awami Complex,8 Marla,23210473,2901309,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Commercial Broadway,9 Marla,26679154,2964350,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Mercy Square,10 Marla,30261522,3026152,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Awami Complex,12 Marla,37339790,3111649,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Commercial Broadway,13 Marla,40202832,3092526,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Awami Complex,14 Marla,43121363,3080097,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Mercy Square,15 Marla,50153625,3343575,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Markaz,16 Marla,46042850,2877678,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Markaz,17 Marla,49682629,2922508,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Awami Complex,18 Marla,58071466,3226193,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Commercial Broadway,19 Marla,57455328,3023965,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Bahria Town Islamabad,Markaz,20 Marla,61660660,3083033,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Square One,4 Marla,10184333,2546083,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Square One,5 Marla,12460558,2492112,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,6 Marla,15665158,2610860,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,7 Marla,18761192,2680170,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,8 Marla,20417573,2552197,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Square One,9 Marla,22092722,2454747,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,10 Marla,25372931,2537293,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,12 Marla,28273085,2356090,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,13 Marla,32205345,2477334,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,14 Marla,35763579,2554541,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Square One,15 Marla,37416509,2494434,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Main Boulevard,16 Marla,41949782,2621861,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Main Boulevard,17 Marla,45191261,2658309,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Square One,18 Marla,45632982,2535166,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,19 Marla,47657951,2508313,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Capital Smart City,Overseas Commercial,20 Marla,52953294,2647665,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,4 Marla,14155922,3538980,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,5 Marla,17003992,3400798,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,6 Marla,21269751,3544959,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,7 Marla,23408402,3344057,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,8 Marla,27823230,3477904,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,9 Marla,29763969,3307108,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,10 Marla,31890309,3189031,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,12 Marla,38537110,3211426,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,13 Marla,42369883,3259222,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,14 Marla,50841176,3631513,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,15 Marla,51954259,3463617,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Commercial Main,16 Marla,52638839,3289927,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Jinnah Super Market,17 Marla,58207876,3423993,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,18 Marla,60682274,3371237,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,19 Marla,65074974,3424999,Partially Operational,2022,6,882
6/1/2022,Islamabad,Commercial,Faisal Town,Faisal Square,20 Marla,66006203,3300310,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,4 Marla,11815010,2953753,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,5 Marla,14304767,2860953,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,6 Marla,16720574,2786762,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,7 Marla,19551455,2793065,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,8 Marla,20906046,2613256,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,9 Marla,24861900,2762433,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,10 Marla,29631161,2963116,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,12 Marla,31476013,2623001,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,13 Marla,37476415,2882801,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,14 Marla,39921594,2851542,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,15 Marla,42768416,2851228,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,16 Marla,45920713,2870045,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,17 Marla,44401549,2611856,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 7 Commercial,18 Marla,51286098,2849228,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Phase 8 Markaz,19 Marla,51617502,2716711,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Bahria Town Rawalpindi,Eiffel Tower Area,20 Marla,55863690,2793185,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,4 Marla,17244108,4311027,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,5 Marla,19907226,3981445,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,6 Marla,24705668,4117611,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,7 Marla,27858916,3979845,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,8 Marla,32176870,4022109,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,9 Marla,37510027,4167781,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,10 Marla,40270371,4027037,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,12 Marla,50450612,4204218,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,13 Marla,52321956,4024766,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,14 Marla,57407582,4100542,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,15 Marla,58899643,3926643,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,16 Marla,66315179,4144699,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,17 Marla,68312830,4018402,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Saddar Market,18 Marla,73455924,4080885,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Main Commercial,19 Marla,78504618,4131822,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,DHA Islamabad-Rawalpindi,Silver Plaza,20 Marla,85485886,4274294,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,4 Marla,8533167,2133292,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,5 Marla,11717553,2343511,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,6 Marla,12693698,2115616,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,7 Marla,15571348,2224478,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,8 Marla,17954449,2244306,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,9 Marla,20908274,2323142,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,10 Marla,22260110,2226011,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,12 Marla,26500176,2208348,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,13 Marla,29670329,2282333,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,14 Marla,30285149,2163225,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,15 Marla,33025843,2201723,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,16 Marla,34214856,2138429,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone A,17 Marla,37858798,2226988,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,18 Marla,41801966,2322331,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,High Rise Plaza,19 Marla,42800115,2252638,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Faisal Hills,Commercial Zone B,20 Marla,44710125,2235506,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,4 Marla,8327890,2081973,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,5 Marla,10246269,2049254,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,6 Marla,12321492,2053582,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,7 Marla,14891208,2127315,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,8 Marla,16814290,2101786,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,9 Marla,18237900,2026433,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,10 Marla,22346498,2234650,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,12 Marla,25262263,2105189,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,13 Marla,29180963,2244689,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,14 Marla,28332020,2023716,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,15 Marla,32541867,2169458,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Main Boulevard,16 Marla,33739758,2108735,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,17 Marla,37342890,2196641,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Central Commercial,18 Marla,39372317,2187351,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,19 Marla,38460973,2024262,Partially Operational,2022,6,882
6/1/2022,Rawalpindi,Commercial,Grace Valley,Sector 3 Commercial,20 Marla,43644711,2182236,Partially Operational,2022,6,882
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,4 Marla,16332089,4083022,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,5 Marla,22428968,4485794,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,6 Marla,25957472,4326245,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,7 Marla,29788207,4255458,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Y Commercial,8 Marla,33227377,4153422,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Y Commercial,9 Marla,41256136,4584015,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,10 Marla,40608287,4060829,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Sector Z,12 Marla,52575442,4381287,Partially Operational,2022,7,912
7/1/2022,Islamabad,Commercial,DHA Islamabad,Commercial Plaza,13 Marla,51836326,3987410,Partially Operational,2022,7,912
